"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Aging_Cohort Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution","dorsolateral prefrontal cortex","normal 7 diseases","10x 3' v3","Homo sapiens","1,332,155","Download Explore"
"MSSM_Cohort Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution","dorsolateral prefrontal cortex","normal 103 diseases","10x 3' v3","Homo sapiens","4,140,453","Download Explore"
"HBCC_Cohort Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution","dorsolateral prefrontal cortex","normal 79 diseases","10x 3' v3","Homo sapiens","1,486,324","Download Explore"
"Excitatory Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons","3 tissues","Alzheimer disease normal","3 assays","Homo sapiens","282,930","Download Explore"
"all cells Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons","3 tissues","Alzheimer disease normal","3 assays","Homo sapiens","424,528","Download Explore"
"Breast cancer 4 patients archival FFPE samples profiling with Chromium FLEX Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity","parenchyma of mammary gland","invasive ductal breast carcinoma invasive lobular breast carcinoma","10x gene expression flex","Homo sapiens","10,689","Download Explore"
"Lung cancer 4 patients archival FFPE samples profiling with Chromium FLEX Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity","lung parenchyma","lung adenocarcinoma squamous cell lung carcinoma","10x gene expression flex","Homo sapiens","35,954","Download Explore"
"Diffuse large B cell lymphoma (DLBCL) 6 patients archival FFPE samples profiling with Chromium FLEX Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity","6 tissues","diffuse large B-cell lymphoma primary cutaneous diffuse large B-cell lymphoma, Leg type","10x gene expression flex","Homo sapiens","39,713","Download Explore"
"HTAPP-364-SMP-1321 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v2","Homo sapiens","13,167","Download Explore"
"HTAPP-917-SMP-4531 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v2","Homo sapiens","11,074","Download Explore"
"HTAPP-213-SMP-6752 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","chest wall","breast cancer","Slide-seqV2","Homo sapiens","9,362","Download Explore"
"HTAPP-783-SMP-4081 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","breast","breast cancer","Slide-seqV2","Homo sapiens","5,833","Download Explore"
"HTAPP-997-SMP-7789 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","10,892","Download Explore"
"HTAPP-944-SMP-7479 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","9,422","Download Explore"
"HTAPP-313-SMP-932 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","12,494","Download Explore"
"HTAPP-878-SMP-7149 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","10x 3' v3","Homo sapiens","10,623","Download Explore"
"HTAPP-812-SMP-8239 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","Slide-seqV2","Homo sapiens","10,957","Download Explore"
"HTAPP-330-SMP-1082 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","11,851","Download Explore"
"HTAPP-812-SMP-8239 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","10x 3' v3","Homo sapiens","5,463","Download Explore"
"HTAPP-330-SMP-1082 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","565","Download Explore"
"HTAPP-880-SMP-7179 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","22,188","Download Explore"
"HTAPP-878-SMP-7149 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","Slide-seqV2","Homo sapiens","22,033","Download Explore"
"HTAPP-982-SMP-7629 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","7,505","Download Explore"
"HTAPP-944-SMP-7479 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","10,016","Download Explore"
"HTAPP-783-SMP-4081 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","breast","breast cancer","10x 3' v2","Homo sapiens","2,276","Download Explore"
"HTAPP-895-SMP-7359 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","6,210","Download Explore"
"Fresh samples (single cell) HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","6 tissues","breast cancer","10x 3' v2 10x 3' v3","Homo sapiens","157,531","Download Explore"
"HTAPP-895-SMP-7359 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","9,958","Download Explore"
"HTAPP-514-SMP-6760 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","Slide-seqV2","Homo sapiens","33,272","Download Explore"
"HTAPP-313-SMP-932 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","11,484","Download Explore"
"HTAPP-853-SMP-4381 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","11,430","Download Explore"
"HTAPP-917-SMP-4531 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","8,715","Download Explore"
"HTAPP-982-SMP-7629 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","8,086","Download Explore"
"HTAPP-997-SMP-7789 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","12,258","Download Explore"
"HTAPP-364-SMP-1321 Slide-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","Slide-seqV2","Homo sapiens","2,958","Download Explore"
"HTAPP-213-SMP-6752 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","chest wall","breast cancer","10x 3' v3","Homo sapiens","9,799","Download Explore"
"Frozen samples (single nucleus) HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","7 tissues","breast cancer","10x 3' v2 10x 3' v3","Homo sapiens","394,534","Download Explore"
"HTAPP-853-SMP-4381 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v2","Homo sapiens","4,742","Download Explore"
"HTAPP-880-SMP-7179 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","liver","breast cancer","10x 3' v3","Homo sapiens","10,918","Download Explore"
"HTAPP-514-SMP-6760 scRNA-seq HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment","axilla","breast cancer","10x 3' v3","Homo sapiens","20,916","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Epithelial subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","20,858","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- T-cells subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","19,033","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Myeloid subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","2,743","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- B-cells subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","706","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Endothelial subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","14,177","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- SMCs subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","6,709","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Cycling subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","268","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- PNS glial subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","1,096","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","68,322","Download Explore"
"Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- CAFs subset Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer","prostate gland","prostatic acinar adenocarcinoma","10x 3' v3","Homo sapiens","2,552","Download Explore"
"All Cells - snRNA-seq Cross-dementia human brain snRNA-seq (Rexach et al 2024)","3 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","432,555","Download Explore"
"Integration of Day 8 iPSC-Derived Embryoid Bodies with Human Embryo Published Data (10X sc-RNA-seq; Wellington et al. 2024) Developmental Regulation of Endothelial-to-Hematopoietic Transition from iPSCs","3 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","41,670","Download Explore"
"sci-RNA-seq, Day 7-21 iPSC-Derived Embryoid Bodies (Wellington et al. 2024) Developmental Regulation of Endothelial-to-Hematopoietic Transition from iPSCs","embryoid body (organoid)","normal","sci-RNA-seq3","Homo sapiens","166,085","Download Explore"
"10X sc-RNA-seq, Day 8 iPSC-Derived Embryoid Bodies (Wellington et al. 2024) Developmental Regulation of Endothelial-to-Hematopoietic Transition from iPSCs","embryoid body (organoid)","normal","10x 3' v3","Homo sapiens","7,056","Download Explore"
"Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes. Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes","lung","normal","10x multiome","Homo sapiens","116,778","Download Explore"
"Human dermal fibroblast atlas Human and mouse dermal fibroblast atlas","15 tissues","normal 3 diseases","6 assays","Homo sapiens","108,440","Download Explore"
"Air-Liquid Interface cultures of human airway epithelium in 4 differentiation media - Redman et al. Cell culture differentiation and proliferation conditions influence the in vitro regeneration of the human airway epithelium","epithelial cell of lung (primary cell culture)","normal","10x 3' v2","Homo sapiens","10,224","Download Explore"
"Astrocytes Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling","5 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","18,890","Download Explore"
"Full Dataset Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling","5 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","61,747","Download Explore"
"Oligodendrocytes Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling","5 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","24,342","Download Explore"
"OPCs Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling","5 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","3,324","Download Explore"
"Microglia Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling","5 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","1,621","Download Explore"
"Neuroectodermal cells of cerebellar organoids Cerebellar organoid atlas using microfluidics- and combinatorial barcoding-based technologies","cerebellum (organoid)","normal","10x 3' v3 Parse Evercode Whole Transcriptome v2","Homo sapiens","14,424","Download Explore"
"snRNA-seq of the developing human retina Single Cell Multiome Atlas of the Human Fetal Retina","3 tissues","normal","10x multiome","Homo sapiens","226,506","Download Explore"
"snmCT-seq of human dorsolateral prefrontal cortex (Brodmann area 46) Neuron type-specific effects of human aging and sex on DNA methylation and transcription","Brodmann (1909) area 46","normal","mCT-seq","Homo sapiens","37,121","Download Explore"
"Single Cell Sequencing of Human PBMCs in Clonal Hematopoeisis of Indeterminant Potential Multiomic Profiling of Human Clonal Hematopoiesis Reveals Genotype and Cell-Specific Inflammatory Pathway Activation","blood","clonal hematopoiesis normal","10x 3' v3","Homo sapiens","66,985","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #26 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","immune system disorder normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #24 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #6 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #22 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #17 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #2 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #5 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #7 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #13 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #18 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #21 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #9 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #30 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","immune system disorder normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #25 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","immune system disorder normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #15 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #3 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #10 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #4 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #1 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","immune system disorder Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #8 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #14 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"scRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal Sjogren syndrome","10x 3' v2 10x 3' v3","Homo sapiens","94,227","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #31 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","Sjogren syndrome","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #27 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"spRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease - Block #16 Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands","labial gland","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"A multi-tissue single-cell tumor microenvironment atlas Dissecting novel myeloid-derived cell states through single-cell RNA-Seq and its impact on clinical outcome across tumor types","8 tissues","normal 20 diseases","6 assays","Homo sapiens","391,963","Download Explore"
"Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity","blood","normal rheumatoid arthritis","10x 3' v3","Homo sapiens","108,717","Download Explore"
"intestine_on_chip_media iPSC-derived small intestine-on-chip with self-organizing epithelial, mesenchymal and neural cells","intestinal mucosa (organoid)","normal","10x 3' v3","Homo sapiens","11,103","Download Explore"
"intestine_on_chip_IFN iPSC-derived small intestine-on-chip with self-organizing epithelial, mesenchymal and neural cells","intestinal mucosa (organoid)","normal","10x 3' v3","Homo sapiens","11,177","Download Explore"
"CITEseq of JDM PBMCs CITEseq of JDM PBMCs","blood","juvenile dermatomyositis normal","10x 3' v3","Homo sapiens","105,827","Download Explore"
"An Integrated Single Cell Meta-atlas of Human Periodontitis An Integrated Single Cell Atlas of Human Periodontitis","gingiva","normal 2 diseases","10x 3' v2 10x 3' v3","Homo sapiens","105,918","Download Explore"
"scRNA-seq of adult gamma delta T cells Human γδ T cells in diverse tissues exhibit site-specific maturation dynamics across the lifespan","5 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","7,417","Download Explore"
"All annotated cells from infection 1 A molecular cell atlas of COVID-19 initiation in human lung","upper lobe of left lung","COVID-19","10x 3' v3","Homo sapiens","48,226","Download Explore"
"All annotated cells from infection 3 A molecular cell atlas of COVID-19 initiation in human lung","lower lobe of left lung","COVID-19","10x 3' v2 10x 3' v3","Homo sapiens","125,530","Download Explore"
"All annotated cells from infection 2 A molecular cell atlas of COVID-19 initiation in human lung","upper lobe of left lung","COVID-19","10x 3' v3","Homo sapiens","134,076","Download Explore"
"All annotated cells from infection 4 A molecular cell atlas of COVID-19 initiation in human lung","upper lobe of left lung","COVID-19","10x 3' v3","Homo sapiens","76,298","Download Explore"
"Single nucleus transcriptomic profiling of human healthy hamstring tendon Single nucleus and spatial transcriptomic profiling of human healthy hamstring tendon","tendon of semitendinosus","normal","10x 3' v3","Homo sapiens","10,533","Download Explore"
"Single-cell RNA-seq of the Adult Human Kidney (Version 1.5) An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5)","kidney","normal 2 diseases","10x 3' v3","Homo sapiens","225,177","Download Explore"
"Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5) An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5)","4 tissues","normal 2 diseases","10x 3' v3","Homo sapiens","304,989","Download Explore"
"Cross-sectional Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients","blood","normal 5 diseases","10x 5' v1","Homo sapiens","17,308","Download Explore"
"Longitudinal Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients","blood","HIV infectious disease visceral leishmaniasis","10x 5' v1","Homo sapiens","12,822","Download Explore"
"All_OPC Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","4,101","Download Explore"
"All_Vascular Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","5,683","Download Explore"
"All_Neuron_GABA Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","29,897","Download Explore"
"All_Immune Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","10,845","Download Explore"
"All_FBL Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","8,841","Download Explore"
"Visium spatial data from human healthy liver donor; sample C73_C1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Endothelial cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","9,422","Download Explore"
"Visium spatial data from human healthy liver donor; sample C73_A1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Natural killer T cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","16,665","Download Explore"
"CAREBANK Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease","right atrium auricular region","normal 3 diseases","10x 3' v3","Homo sapiens","221,756","Download Explore"
"All cells types from scRNA-seq of human primary sclerosing cholangitis patients and healthy controls Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal 2 diseases","10x 5' v1 10x 5' v2","Homo sapiens","89,637","Download Explore"
"Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_A1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","primary sclerosing cholangitis","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"PERIHEART Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease","right atrium auricular region","normal 3 diseases","10x 3' v3","Homo sapiens","392,819","Download Explore"
"Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_D1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","primary sclerosing cholangitis","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_B1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","primary sclerosing cholangitis","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Hepatocyte-2 cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","13,635","Download Explore"
"B cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","1,250","Download Explore"
