"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Human Immune Health Atlas Other cells Human Immune Health Atlas","blood","cytomegalovirus infection normal","10x 3' v3","Homo sapiens","10,937","Download Explore"
"Sound Life Older Adult Males, CMV-positive Multi-omic profiling reveals age-related immune dynamics in healthy adults","blood","cytomegalovirus infection","10x 3' v3","Homo sapiens","1,322,061","Download Explore"
"Human Immune Health Atlas DCs Human Immune Health Atlas","blood","cytomegalovirus infection normal","10x 3' v3","Homo sapiens","23,287","Download Explore"
"Human Immune Health Atlas NK cells and ILCs Human Immune Health Atlas","blood","cytomegalovirus infection normal","10x 3' v3","Homo sapiens","148,605","Download Explore"
"Sound Life Older Adult Females, CMV-negative Multi-omic profiling reveals age-related immune dynamics in healthy adults","blood","normal","10x 3' v3","Homo sapiens","1,350,748","Download Explore"
"Human Immune Health Atlas B and Plasma cells Human Immune Health Atlas","blood","cytomegalovirus infection normal","10x 3' v3","Homo sapiens","160,632","Download Explore"
"slide-seqV2 analysis of right coronary artery A Coding and Non-Coding Atlas of the Human Arterial Cell","right coronary artery","normal","Slide-seqV2","Homo sapiens","12,744","Download Explore"
"Fine needle aspirates of axillary lymph nodes before and after vaccination Early lymph node T follicular helper cell signalling hub drives influenza vaccine response in an ancestrally diverse cohort","axillary lymph node","normal","10x 5' v2","Homo sapiens","191,266","Download Explore"
"Human Fetal Retina Atlas Human fetal retina atlas v1 - Unraveling the developmental heterogeneity within the human retina to reconstruct the continuity of retinal ganglion cell maturation and stage-specific intrinsic and extrinsic factors","3 tissues","normal","3 assays","Homo sapiens","108,838","Download Explore"
"slide-seqV2 analysis of aorta A Coding and Non-Coding Atlas of the Human Arterial Cell","aorta","normal","Slide-seqV2","Homo sapiens","6,142","Download Explore"
"scRNA-seq of vascular tissue A Coding and Non-Coding Atlas of the Human Arterial Cell","10 tissues","normal","10x 3' v3","Homo sapiens","113,304","Download Explore"
"Malignant cells for T-ALL patient P058 from original cohort. A non-canonical lymphoblast in refractory childhood T-cell acute leukaemia","bone marrow","T-cell childhood acute lymphocytic leukemia","10x 5' v2","Homo sapiens","10,377","Download Explore"
"Normal & malignant cells from T-ALL patients in original cohort. A non-canonical lymphoblast in refractory childhood T-cell acute leukaemia","bone marrow","T-cell childhood acute lymphocytic leukemia","10x 5' v2","Homo sapiens","216,507","Download Explore"
"All Cells Single-Cell Atlas of Acute Myeloid Leukemia (AML scAtlas)","bone marrow","myeloid leukemia normal","9 assays","Homo sapiens","748,679","Download Explore"
"Normal & malignant cells from T-ALL patients in extension cohort. A non-canonical lymphoblast in refractory childhood T-cell acute leukaemia","3 tissues","T-cell childhood acute lymphocytic leukemia","10x 5' v2","Homo sapiens","333,487","Download Explore"
"Spinal cord dataset ALS motor cortex and spinal cord single-nucleus multiome dataset","lumbar spinal cord","amyotrophic lateral sclerosis normal","10x 3' v3 10x multiome","Homo sapiens","62,711","Download Explore"
"Brain dataset ALS motor cortex and spinal cord single-nucleus multiome dataset","primary motor cortex","amyotrophic lateral sclerosis normal","10x 3' v3 10x multiome","Homo sapiens","75,583","Download Explore"
"CRLM-NMP-ATLAS Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion","liver","normal 2 diseases","BD Rhapsody Whole Transcriptome Analysis","Homo sapiens","75,104","Download Explore"
"Healthy and IFALD pediatric and adult human liver tissue Single-Cell Atlas Of Human Pediatric Liver Reveals Age-Related Hepatic Gene Signatures","4 tissues","intestinal failure–associated liver disease normal","4 assays","Homo sapiens","81,001","Download Explore"
"Healthy pediatric and adult human liver tissue Single-Cell Atlas Of Human Pediatric Liver Reveals Age-Related Hepatic Gene Signatures","caudate lobe of liver right lobe of liver","normal","4 assays","Homo sapiens","69,032","Download Explore"
"Single-nucleus RNA-seq of the Adult Human Kidney (Version 2.0) Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney","4 tissues","normal 2 diseases","10x 3' v3 10x multiome","Homo sapiens","1,388,643","Download Explore"
"Single-cell RNA-seq of the Adult Human Kidney (Version 2.0) Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney","kidney","normal 2 diseases","10x 3' v3","Homo sapiens","348,984","Download Explore"
"snRNA-seq of human of the human retinal pigment epithelium and the choroid - retinal pigment epithelial cells Single cell atlas of the human retinal pigment epithelium and the choroid","chorioretinal region","normal","10x 3' v3 10x 5' v2","Homo sapiens","69,244","Download Explore"
"snRNA-seq of human of the human retinal pigment epithelium and the choroid - endothelial cells Single cell atlas of the human retinal pigment epithelium and the choroid","chorioretinal region","normal","10x 3' v3 10x 5' v2","Homo sapiens","99,457","Download Explore"
"snRNA-seq of human of the human retinal pigment epithelium and the choroid - stromal cells Single cell atlas of the human retinal pigment epithelium and the choroid","chorioretinal region","normal","10x 3' v3 10x 5' v2","Homo sapiens","212,984","Download Explore"
"snRNA-seq of human of the human retinal pigment epithelium and the choroid - all cells Single cell atlas of the human retinal pigment epithelium and the choroid","chorioretinal region","normal","10x 3' v3 10x 5' v2","Homo sapiens","566,546","Download Explore"
